Bottom Elev (ft),Top Elev (ft),Trail Name,Vertical Drop (ft),Difficulty,Resort,Slope Length (ft),Average Steepness
7438.0,7802.0,Reily's Run,364.0,black,Alpine Meadows,1161.6,0.31336088154269975
7536.0,7671.0,Return Road to Weasel,135.0,black,Alpine Meadows,1478.4,0.09131493506493506
7618.0,8009.0,Robin Hood,394.0,black,Alpine Meadows,1320.0,0.29848484848484846
7441.0,7871.0,Rock Garden,430.0,black,Alpine Meadows,2323.2,0.1850895316804408
7028.0,7208.0,Sandy's Corner,180.0,black,Alpine Meadows,792.0,0.22727272727272727
7526.0,7740.0,Scott Meadow,213.0,black,Alpine Meadows,897.6,0.23729946524064172
7585.0,7986.0,Scott Ridge,400.0,black,Alpine Meadows,1214.4,0.3293807641633728
7415.0,8087.0,Scott Ridge Run,673.0,black,Alpine Meadows,2270.4,0.29642353770260743
7612.0,8228.0,Scotty's Beam,617.0,black,Alpine Meadows,1742.4,0.35410927456382
7116.0,8015.0,Sherwood Run,899.0,black,Alpine Meadows,4329.599999999999,0.20764042867701407
7441.0,7867.0,Shooting Star,430.0,black,Alpine Meadows,1425.6000000000001,0.3016273849607183
7083.0,7421.0,Skateboard Alley,341.0,black,Alpine Meadows,1478.4,0.2306547619047619
7644.0,7887.0,Standard Run,243.0,black,Alpine Meadows,633.6,0.38352272727272724
7818.0,8031.0,Summer Road,213.0,black,Alpine Meadows,1584.0,0.13446969696969696
7884.0,8465.0,Sun Spot,584.0,black,Alpine Meadows,1636.8,0.3567937438905181
6906.0,7060.0,Tiegel,154.0,black,Alpine Meadows,1636.8,0.09408602150537634
7434.0,7549.0,To Lakeview Chair,115.0,black,Alpine Meadows,1900.8,0.06050084175084175
7582.0,8087.0,Twilight Zone,502.0,black,Alpine Meadows,1372.8,0.3656759906759907
7385.0,7871.0,Upper Weasel One,486.0,black,Alpine Meadows,2428.8,0.200098814229249
7060.0,7526.0,Weasel Run,466.0,black,Alpine Meadows,2270.4,0.20525017618040872
7215.0,7887.0,Werner's Schuss,673.0,black,Alpine Meadows,1900.8,0.3540614478114478
6932.0,7024.0,West Runout,89.0,black,Alpine Meadows,844.8000000000001,0.10535037878787878
7943.0,8127.0,Winter Road,184.0,black,Alpine Meadows,1425.6000000000001,0.12906846240179573
7749.0,8468.0,Wolverine,722.0,black,Alpine Meadows,3115.2,0.23176682074987162
7070.0,7635.0,Yellow Trail,564.0,black,Alpine Meadows,1953.6,0.2886977886977887
7887.0,8271.0,Beaver Bowl,384.0,black,Alpine Meadows,792.0,0.48484848484848486
7375.0,7874.0,Bernie's Bowl,502.0,black,Alpine Meadows,1003.2,0.5003987240829346
8117.0,8320.0,Big Bend Bowl,203.0,black,Alpine Meadows,351.0,0.5783475783475783
8140.0,8268.0,Big Bend Keyhole,128.0,black,Alpine Meadows,310.0,0.4129032258064516
8061.0,8366.0,CB Chute,302.0,black,Alpine Meadows,633.6,0.47664141414141414
7106.0,7799.0,Chute That Seldom Slides,696.0,black,Alpine Meadows,1267.2,0.5492424242424242
7543.0,7717.0,CK Bench,174.0,black,Alpine Meadows,440.0,0.39545454545454545
7615.0,7910.0,Counterweight Gully,295.0,black,Alpine Meadows,400.0,0.7375
8166.0,8392.0,D-6,226.0,black,Alpine Meadows,488.0,0.46311475409836067
