Name,Bottom (ft),Top (ft),Vertical Drop (ft),Length (mi),URL,difficulty,resort_name,distance,metric,Average Steepness
  Fail Safe Tree #1 ,11230 ft,11499 ft,266,0.11 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-green,green,loveland-ski-area,0.11,mi,0.4579889807162535
  Fail Safe Tree #2 ,11266 ft,11624 ft,358,0.16 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-green,green,loveland-ski-area,0.16,mi,0.42376893939393934
  Fail Safe Tree #3 ,11404 ft,11693 ft,289,0.15 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-green,green,loveland-ski-area,0.15,mi,0.3648989898989899
  Field of Dreams ,12365 ft,12762 ft,397,0.3 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-green,green,loveland-ski-area,0.3,mi,0.25063131313131315
  Holy Cat ,10886 ft,11493 ft,607,0.28 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-green,green,loveland-ski-area,0.28,mi,0.4105790043290043
  Hook 'em Horns ,11463 ft,11867 ft,404,0.24 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-green,green,loveland-ski-area,0.24,mi,0.3188131313131313
  In The Mood ,11535 ft,11975 ft,440,0.25 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-green,green,loveland-ski-area,0.25,mi,0.3333333333333333
  Jelly Roll ,11975 ft,12365 ft,390,0.2 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-green,green,loveland-ski-area,0.2,mi,0.3693181818181818
  North Star ,12149 ft,12510 ft,361,0.24 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-green,green,loveland-ski-area,0.24,mi,0.2848800505050505
  Porcupine Saddle ,11919 ft,12398 ft,479,0.42 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-green,green,loveland-ski-area,0.42,mi,0.2159992784992785
  Primer Bowl ,12123 ft,12638 ft,515,0.3 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-green,green,loveland-ski-area,0.3,mi,0.32512626262626265
  Splashdown ,11119 ft,11437 ft,318,0.2 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-green,green,loveland-ski-area,0.2,mi,0.30113636363636365
  Sunburst Chute #1 ,11467 ft,11804 ft,341,0.18 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-green,green,loveland-ski-area,0.18,mi,0.3587962962962963
  Sunburst Chute #2 ,11457 ft,11736 ft,279,0.15 mi,https://jollyturns.com/resort/united-states-of-america/loveland-ski-area/skiruns-green,green,loveland-ski-area,0.15,mi,0.3522727272727273
