Trail Name,Bottom Elev (ft),Top Elev (ft),Vertical Drop (ft),Slope Length (ft),Difficulty,Resort,Average Steepness,Groomed,Base,Lifts,Top,Vertical Rise (ft),Black,Blue,Double Black,Green,Terrain Park,Price,Total Runs
Pika Place,10840.0,10843.0,3.0,65.0,Green,Arapahoe Basin,0.04615384615384616,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Sundance,10869.0,11526.0,653.0,2956.8,Green,Arapahoe Basin,0.22084686147186147,Groomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Wrangler,10823.0,11545.0,722.0,4963.2,Green,Arapahoe Basin,0.14547066408768536,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Cabin Glades,11529.0,11736.0,207.0,528.0,Blue,Arapahoe Basin,0.3920454545454545,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Columbine,11365.0,12434.0,1070.0,4012.8,Blue,Arapahoe Basin,0.2666467304625199,Groomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Cornice Run #1,12037.0,12441.0,404.0,1795.2,Blue,Arapahoe Basin,0.2250445632798574,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Cornice Run #2,12037.0,12110.0,75.0,897.6,Blue,Arapahoe Basin,0.08355614973262032,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Davis,11007.0,12057.0,1050.0,4171.2,Blue,Arapahoe Basin,0.25172612197928657,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Dercum's Gulch,11549.0,12156.0,604.0,3432.0,Blue,Arapahoe Basin,0.17599067599067603,Groomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Dragon,11444.0,12024.0,581.0,2376.0,Blue,Arapahoe Basin,0.24452861952861954,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
