Trail Name,Bottom Elev (ft),Top Elev (ft),Vertical Drop (ft),Slope Length (ft),Difficulty,Resort,Average Steepness,Groomed,Base,Lifts,Top,Vertical Rise (ft),Percent Blacks,Percent Blues,Percent Double Blacks,Percent Greens,Percent Terrain Parks,Price,Total Runs,Location
1st Tree Chute,11608,11759,151,181,Double Black,Arapahoe Basin,0.83,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
2nd Alley,11283,11699,417,686,Double Black,Arapahoe Basin,0.61,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
2nd Notch,12402,12618,217,264,Double Black,Arapahoe Basin,0.82,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
2nd Tree Chute,11614,11798,187,225,Double Black,Arapahoe Basin,0.83,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
3rd Alley,11129,11552,427,633,Double Black,Arapahoe Basin,0.67,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
3rd Tree Chute,11598,11798,197,232,Double Black,Arapahoe Basin,0.85,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
4th Alley,11171,11509,341,498,Double Black,Arapahoe Basin,0.68,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
4th Tree Chute,11617,11831,217,252,Double Black,Arapahoe Basin,0.86,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
5th Tree Chute,11663,11886,223,265,Double Black,Arapahoe Basin,0.84,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
6th Tree Chute,11696,11923,223,298,Double Black,Arapahoe Basin,0.75,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
7th Tree Chute,11736,12041,305,421,Double Black,Arapahoe Basin,0.72,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
8th Tree Chute,11818,12165,348,452,Double Black,Arapahoe Basin,0.77,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Bald Spot,10794,10925,131,194,Double Black,Arapahoe Basin,0.68,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Bear Trap,10968,11220,253,520,Double Black,Arapahoe Basin,0.49,Groomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Birthday Chute,11995,12507,512,686,Double Black,Arapahoe Basin,0.75,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Black Forest,10965,11503,538,1478,Double Black,Arapahoe Basin,0.36,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Booger Ramp,12215,12382,164,239,Double Black,Arapahoe Basin,0.69,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Booger Snot,12556,12657,102,146,Double Black,Arapahoe Basin,0.7,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Christmas Trees,10738,11037,299,792,Double Black,Arapahoe Basin,0.38,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Corner Chute,12201,12474,272,385,Double Black,Arapahoe Basin,0.71,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Crags,11293,11486,190,457,Double Black,Arapahoe Basin,0.42,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
David's Run,11398,11719,325,485,Double Black,Arapahoe Basin,0.67,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Davo,11417,11703,285,686,Double Black,Arapahoe Basin,0.42,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Durrance,11781,12231,449,950,Double Black,Arapahoe Basin,0.47,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
East Avenue,11591,11998,410,739,Double Black,Arapahoe Basin,0.55,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
East Vertical,12303,12520,213,276,Double Black,Arapahoe Basin,0.77,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
East Wall Traverse,11752,12162,410,3960,Double Black,Arapahoe Basin,0.1,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Elephant's Trunk,12051,12267,217,1056,Double Black,Arapahoe Basin,0.21,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
End Zone,11768,12034,262,580,Double Black,Arapahoe Basin,0.45,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
